subj_idx,stim,rt,response,rulert
2, YFLV,0.56813,1,0.51804
2, XFNV,0.50134,1,0.63503
2, XSNV,0.63489,0,0.63495
2, YSLV,1.92,1,0.56824
2, YFEV,0.50137,1,1.2025
2, XFLV,0.50137,1,1.7198
2, YSEV,0.56816,1,0.7185
2, YSNV,0.66836,1,0.51826
2, XSNV,0.85181,1,0.53475
2, YFLV,0.61822,1,0.51818
2, YSEV,0.81848,1,0.88529
2, YSNV,0.58483,1,0.96871
2, XSLV,1.2691,1,0.71828
2, YSEV,1.1354,1,1.3026
2, YFEV,1.1856,1,0.60165
2, XSLV,1.8032,1,0.63505
2, XSNV,0.85183,1,0.78526
2, XSEV,0.8352,1,0.51817
2, XSNV,0.75176,0,0.56822
2, XSLV,1.0187,1,0.51809
2, YFEV,0.50134,1,0.76841
2, XFNV,0.50138,1,0.80182
2, YFLV,1.3191,1,0.51818
2, YSEV,0.90185,1,1.1023
2, XSLV,0.86851,1,0.8853
2, YFNV,0.66827,1,0.51821
2, XFLV,1.4526,1,0.86877
2, YFEV,0.55146,1,0.75189
2, YFNV,0.55141,1,0.71839
2, YSNV,0.95192,1,0.53494
2, YFEV,0.51809,1,0.71841
2, XFLV,1.219,1,0.7686
2, YSEV,0.7684,1,0.73502
2, XSNV,0.78507,0,0.73509
2, XFLV,1.002,1,1.4027
2, YFEV,0.58479,1,0.73507
2, XSNV,0.70156,1,0.51813
2, YFLV,0.56812,1,1.0524
2, YFLV,0.60135,1,0.75199
2, XFEV,0.5014,1,0.95212
2, XSNV,0.80179,1,1.2358
3, XFNP,0.96867,1,3.2556
3, YFEP,0.88509,1,1.0522
3, YSLP,1.0855,0,1.0523
3, XFLP,0.65157,1,1.1358
3, YFNP,0.70166,1,0.83536
3, YFEP,0.50146,1,0.66848
3, YSNP,0.76846,1,0.93533
3, YFEP,0.6015,1,0.83543
3, YSLP,0.71839,1,1.0189
3, YFLP,0.55151,1,0.90207
3, YSEP,0.88512,1,0.95207
3, YSNP,0.70167,1,1.0357
3, YSLP,0.85192,1,0.80198
3, YSNP,0.70175,1,0.83543
3, YFEP,0.65151,1,0.75177
3, XSLP,0.60152,1,0.80196
3, YSNP,0.75177,1,1.3192
3, XFEP,0.73488,1,0.56827
3, YSEP,0.90196,1,0.63499
3, XFNP,0.75175,1,1.2524
3, XSLP,0.78516,1,1.2358
3, XFLP,0.68494,1,1.1858
3, XFNP,0.50143,1,0.76859
3, YFEP,0.5013,1,0.65168
3, XSEP,0.71834,1,0.93536
3, YSLP,0.63489,1,0.88524
3, YSNP,0.81841,1,0.86866
3, YFEP,0.51805,1,0.90208
3, YSNP,0.71845,1,0.93531
3, YSLP,0.58492,1,1.1189
3, XFEP,0.65156,1,1.069
3, XSNP,0.56808,0,0.93532
3, YSLP,0.55135,1,1.4693
3, YSLP,0.6682,1,0.85194
3, XFNP,0.50142,1,0.58483
3, YFEP,0.50146,1,0.55163
3, YFNP,0.66815,1,1.0689
3, XSLP,1.3359,1,0.83532
3, XSEP,0.75166,0,0.55163
3, XSNP,0.88533,1,1.2024
3, YSLP,0.73515,1,1.1191
3, YFEP,0.51809,1,1.4528
