subj_idx,stim,rt,response
3, YSNP,0.73505,1
3, YFLP,0.50138,1
3, XFEP,0.50149,1
3, YSEP,0.8352,1
3, XFNP,0.6016,1
3, XFLP,0.5014,1
3, XFLP,0.70168,1
3, XFNP,0.70174,1
3, YSEP,0.78501,0
3, XSNP,1.0188,1
3, XSEP,0.65166,1
3, XFLP,0.55152,1
3, YSLP,0.66824,0
3, XFNP,0.83527,1
3, XSEP,1.0688,1
3, YFNP,0.58483,1
3, YFLP,0.50128,1
3, XSEP,0.78503,1
3, XFEP,0.53477,1
3, YSNP,0.80175,1
3, YFLP,0.66822,1
3, YSNP,0.96871,0
3, XSLP,0.68499,1
3, YSEP,0.61815,1
3, YSLP,0.80181,1
3, YFEP,0.50132,1
3, XFNP,0.75167,1
3, XSLP,0.80181,1
3, XSNP,0.68498,1
3, XSEP,0.7851,1
3, YFLP,0.53478,1
3, XSNP,0.71821,1
3, YFEP,0.50129,1
3, YSEP,0.73505,1
3, XFNP,0.60152,1
3, YSLP,0.70155,1
3, XFNP,0.55154,1
3, XFLP,0.50136,1
3, YFEP,0.65159,1
3, XFEP,0.56816,1
3, XFLP,0.50139,1
3, XSNP,0.65157,1
3, YFEP,0.73505,1
3, YSLP,0.68495,1
3, XFNP,0.81839,1
3, XSLP,0.88517,0
3, YFNP,0.58485,1
3, YSEP,0.81849,1
3, YSEP,0.95213,1
3, YFLP,0.50131,1
3, YFNP,0.66829,1
3, XFEV,0.60154,1
3, YSNV,0.78518,1
3, YFLV,0.63485,1
3, YSEV,0.61814,1
3, YFNV,0.50145,1
3, YFLV,0.53479,1
3, YSNV,0.66818,1
3, XFLV,0.50129,1
3, XSEV,0.78497,1
3, YFNV,0.68499,1
3, YSEV,0.78513,1
3, YSLV,0.63485,1
3, YFEV,0.50138,1
3, XFNV,0.55148,1
3, YSLV,0.65164,1
3, YSLV,0.68504,1
3, XSNV,0.78518,0
3, XSEV,0.80186,1
3, YFLV,0.50135,1
3, YSNV,0.73506,1
3, YFEV,0.50132,1
3, YSNV,0.73505,1
3, YSEV,0.60142,1
3, XSLV,0.7518,0
3, XFLV,0.5014,1
3, XFNV,0.50138,1
3, XFEV,0.50139,1
3, XSEV,0.63489,1
3, XSNV,0.81858,1
3, XSLV,0.68503,1
3, XFNV,0.50138,1
3, XSEV,0.63495,0
3, XFLV,0.51794,1
3, XFEV,0.50141,1
3, XFLV,0.50135,1
3, YFNV,0.50133,1
3, XSEV,0.63487,1
3, YSNV,0.66822,1
3, XFLV,0.50137,1
3, XSNV,0.65159,1
3, XFLV,0.50145,1
3, YSEV,0.66812,1
3, XSEV,1.4027,1
3, YFNV,0.50124,1
3, YFLV,0.51804,1
3, YSNV,0.68498,1
3, YFLV,0.58482,1
3, XSEV,1.4025,1
3, XFEV,0.50135,1
3, YSNV,0.60157,1
3, YSLV,0.63489,1
3, YFNV,0.5013,1
3, YFEV,0.5848,1
3, XFLV,0.55144,1
3, XFLV,0.53475,1
3, XSEV,0.90193,1
3, XSNV,0.81861,1
3, XSLV,0.71821,1
3, YFNV,0.58469,1
3, XFEV,0.51806,1
4, XFEV,1.119,1
4, XSNV,1.1856,1
4, YFLV,0.71838,1
4, YFEV,0.75159,1
4, YFLV,0.61819,1
4, YSNV,0.8018,1
4, XSLV,0.91855,1
4, XFEV,0.80183,1
4, XFNV,0.58491,1
4, YFLV,0.66838,1
4, YSNV,0.68492,1
4, XSEV,1.1522,1
4, XSEV,0.91866,1
4, XSNV,0.96867,1
4, XFLV,1.1522,1
4, XSNV,1.0855,1
4, YSLV,0.76837,1
4, YSEV,0.73509,1
4, YSNV,0.66826,1
4, XFEV,0.6015,1
4, XSLV,0.85181,1
4, YFNV,0.76844,1
4, XSLV,0.96878,1
4, YFEV,0.66838,1
4, YFEV,0.55152,1
4, XSLV,1.0187,1
4, YSNV,0.78509,0
4, YFNV,0.90201,1
4, XFLV,1.8033,1
4, YSEV,0.91866,1
4, XSNV,1.1022,1
4, YSEV,0.95196,1
4, XFLV,0.73494,1
4, XFNV,1.1522,1
4, YFLV,0.65162,1
4, YFEV,1.0356,1
4, YFEV,0.6349,1
4, XFNV,0.96863,1
4, XFLV,1.5696,1
